"category_name","supplier_region","units_in_stock","units_on_order","reorder_level"
"Beverages","Asturias",20,0,0
"Beverages","Asturias",69,0,5
"Beverages","Asturias",57,0,20
"Beverages","Asturias",91,0,20
"Beverages","Asturias",15,10,30
"Beverages","Asturias",148,0,45
"Beverages","Asturias",159,50,75
"Condiments","Asturias",135,0,0
"Condiments","Asturias",63,0,10
"Condiments","Asturias",4,100,20
"Condiments","Asturias",59,0,30
"Condiments","Asturias",246,70,75
"Confections","Asturias",108,0,0
"Confections","Asturias",28,40,10
"Confections","Asturias",29,0,10
"Confections","Asturias",15,70,25
"Confections","Asturias",16,70,30
"Confections","Asturias",190,0,90
"Dairy Products","Asturias",224,0,0
"Dairy Products","Asturias",26,0,15
"Dairy Products","Asturias",9,40,25
"Dairy Products","Asturias",22,30,30
"Dairy Products","Asturias",112,70,40
"Grains/Cereals","Asturias",26,0,0
"Grains/Cereals","Asturias",36,0,20
"Grains/Cereals","Asturias",43,90,60
"Grains/Cereals","Asturias",203,0,75
"Meat/Poultry","Asturias",29,0,0
"Meat/Poultry","Asturias",21,0,10
"Meat/Poultry","Asturias",115,0,20
"Produce","Asturias",61,0,0
"Produce","Asturias",4,20,5
"Produce","Asturias",35,0,20
"Seafood","Asturias",168,0,0
"Seafood","Asturias",125,0,10
"Seafood","Asturias",85,0,10
"Seafood","Asturias",11,50,25
"Seafood","Asturias",123,0,30
"Seafood","Asturias",15,70,30
"Seafood","Asturias",174,0,40
"Beverages","LA",20,0,0
"Beverages","LA",69,0,5
"Beverages","LA",57,0,20
"Beverages","LA",91,0,20
"Beverages","LA",15,10,30
"Beverages","LA",148,0,45
"Beverages","LA",159,50,75
"Condiments","LA",135,0,0
"Condiments","LA",63,0,10
"Condiments","LA",4,100,20
"Condiments","LA",59,0,30
"Condiments","LA",246,70,75
"Confections","LA",108,0,0
"Confections","LA",28,40,10
"Confections","LA",29,0,10
"Confections","LA",15,70,25
"Confections","LA",16,70,30
"Confections","LA",190,0,90
"Dairy Products","LA",224,0,0
"Dairy Products","LA",26,0,15
"Dairy Products","LA",9,40,25
"Dairy Products","LA",22,30,30
"Dairy Products","LA",112,70,40
"Grains/Cereals","LA",26,0,0
"Grains/Cereals","LA",36,0,20
"Grains/Cereals","LA",43,90,60
"Grains/Cereals","LA",203,0,75
"Meat/Poultry","LA",29,0,0
"Meat/Poultry","LA",21,0,10
"Meat/Poultry","LA",115,0,20
"Produce","LA",61,0,0
"Produce","LA",4,20,5
"Produce","LA",35,0,20
"Seafood","LA",168,0,0
"Seafood","LA",125,0,10
"Seafood","LA",85,0,10
"Seafood","LA",11,50,25
"Seafood","LA",123,0,30
"Seafood","LA",15,70,30
"Seafood","LA",174,0,40
"Beverages","MA",20,0,0
"Beverages","MA",69,0,5
"Beverages","MA",57,0,20
"Beverages","MA",91,0,20
"Beverages","MA",15,10,30
"Beverages","MA",148,0,45
"Beverages","MA",159,50,75
"Condiments","MA",135,0,0
"Condiments","MA",63,0,10
"Condiments","MA",4,100,20
"Condiments","MA",59,0,30
"Condiments","MA",246,70,75
"Confections","MA",108,0,0
"Confections","MA",29,0,10
"Confections","MA",28,40,10
"Confections","MA",15,70,25
"Confections","MA",16,70,30
"Confections","MA",190,0,90
"Dairy Products","MA",224,0,0
"Dairy Products","MA",26,0,15
"Dairy Products","MA",9,40,25
"Dairy Products","MA",22,30,30
"Dairy Products","MA",112,70,40
"Grains/Cereals","MA",26,0,0
"Grains/Cereals","MA",36,0,20
"Grains/Cereals","MA",43,90,60
"Grains/Cereals","MA",203,0,75
"Meat/Poultry","MA",29,0,0
"Meat/Poultry","MA",21,0,10
"Meat/Poultry","MA",115,0,20
"Produce","MA",61,0,0
"Produce","MA",4,20,5
"Produce","MA",35,0,20
"Seafood","MA",168,0,0
"Seafood","MA",85,0,10
"Seafood","MA",125,0,10
"Seafood","MA",11,50,25
"Seafood","MA",15,70,30
"Seafood","MA",123,0,30
"Seafood","MA",174,0,40
"Beverages","MI",20,0,0
"Beverages","MI",69,0,5
"Beverages","MI",91,0,20
"Beverages","MI",57,0,20
"Beverages","MI",15,10,30
"Beverages","MI",148,0,45
"Beverages","MI",159,50,75
"Condiments","MI",135,0,0
"Condiments","MI",63,0,10
"Condiments","MI",4,100,20
"Condiments","MI",59,0,30
"Condiments","MI",246,70,75
"Confections","MI",108,0,0
"Confections","MI",28,40,10
"Confections","MI",29,0,10
"Confections","MI",15,70,25
"Confections","MI",16,70,30
"Confections","MI",190,0,90
"Dairy Products","MI",224,0,0
"Dairy Products","MI",26,0,15
"Dairy Products","MI",9,40,25
"Dairy Products","MI",22,30,30
"Dairy Products","MI",112,70,40
"Grains/Cereals","MI",26,0,0
"Grains/Cereals","MI",36,0,20
"Grains/Cereals","MI",43,90,60
"Grains/Cereals","MI",203,0,75
"Meat/Poultry","MI",29,0,0
"Meat/Poultry","MI",21,0,10
"Meat/Poultry","MI",115,0,20
"Produce","MI",61,0,0
"Produce","MI",4,20,5
"Produce","MI",35,0,20
"Seafood","MI",168,0,0
"Seafood","MI",125,0,10
"Seafood","MI",85,0,10
"Seafood","MI",11,50,25
"Seafood","MI",123,0,30
